id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1607201884326232066,1607201884326232066,2022-12-26 09:29:24 SE Asia Standard Time,2022-12-26,09:29:24,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] beli bluetooth speaker buat di kosan yay or nay? bakal ganggu tetangga ga ya? atau mending dengerin normal aja?,in,[],[],[],2,0,0,[],[],https://twitter.com/collegemenfess/status/1607201884326232066,False,,0,,,,,,,,[],,,,
1607201371832619013,1607201371832619013,2022-12-26 09:27:22 SE Asia Standard Time,2022-12-26,09:27:22,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] sender udah daftar sempro tapi nunggu balesan emailnya sama jadwal sempro, enaknya sender buat ppt sempro sekarang apa nanti ya pas jadwal sempro udah keluar ?",in,[],[],[],7,0,2,[],[],https://twitter.com/collegemenfess/status/1607201371832619013,False,,0,,,,,,,,[],,,,
1607201196019965952,1607201194853957637,2022-12-26 09:26:40 SE Asia Standard Time,2022-12-26,09:26:40,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,melalui add discussion aja upload file revisiannya?,in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607201196019965952,False,,0,,,,,,,,[],,,,
1607201194853957637,1607201194853957637,2022-12-26 09:26:39 SE Asia Standard Time,2022-12-26,09:26:39,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] aku mau ngirim file revisian artikel sesuai dengan permintaan editor jurnalnya, nah dari pihak editor nyuruh upload melalui submission file, tapi di menu submission filenya gada tombol upload artikel. Aku liat yt katanya upload melalui add discussion aja, apakah bener (cont)",in,[],[],[],1,0,0,[],[],https://twitter.com/collegemenfess/status/1607201194853957637,False,,0,,,,,,,,[],,,,
1607200956458102785,1607200956458102785,2022-12-26 09:25:43 SE Asia Standard Time,2022-12-26,09:25:43,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] cara sitasi gambar yang udah dimodifikasi gimana ya? formatnya harvard. TIA,in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607200956458102785,False,,0,,,,,,,,[],,,,
1607200582452023297,1607200582452023297,2022-12-26 09:24:13 SE Asia Standard Time,2022-12-26,09:24:13,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] Guys rumus t-tabel kan df = n - k - 1. Nah kalo sampel 400, variabel X nya ada 3, jadi df = 400 - 3 - 1 = 396. Bener nggak guys?",in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607200582452023297,False,,0,,,,,,,,[],,,,
1607200542639652864,1607200542639652864,2022-12-26 09:24:04 SE Asia Standard Time,2022-12-26,09:24:04,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] kira kira makrab biar seru ngapain aja ya ges? saran acara atau games ya dong hehehe,in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607200542639652864,False,,0,,,,,,,,[],,,,
1607200240976941058,1607200240976941058,2022-12-26 09:22:52 SE Asia Standard Time,2022-12-26,09:22:52,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] Kakak-kakak yang udh sempro mau nanya dong, kalian pas chat minta jadwal sempro itu gimana bilangnyaa? Terus kalian yang ngajuin tanggal sendiri atau nanya dosennya kosongnya tanggal berapa? TIA",in,[],[],[],5,0,1,[],[],https://twitter.com/collegemenfess/status/1607200240976941058,False,,0,,,,,,,,[],,,,
1607200156520419328,1607200156520419328,2022-12-26 09:22:32 SE Asia Standard Time,2022-12-26,09:22:32,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] kalian kalau ngulang matkul gara2 project kelompok yang ga selesai padahal kalian yg paling banyak ngerjain (udah berusaha semaksimal kalian), gimana?",in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607200156520419328,False,,0,,,,,,,,[],,,,
1607200100140580869,1607200100140580869,2022-12-26 09:22:18 SE Asia Standard Time,2022-12-26,09:22:18,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] guys kalian pas libur semester terus kost sama rumahnya deket cuman 2 jaman pake motor itu baju-bajunya bawa balik semua gak?,in,[],[],[],4,0,0,[],[],https://twitter.com/collegemenfess/status/1607200100140580869,False,,0,,,,,,,,[],,,,
